[I 260121 09:49:15 consumers:62] SmartAPI WebSocket Opened
[I 260121 09:49:21 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2251661, 'exchange_timestamp': 1768969161000, 'last_traded_price': 5922305, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:21 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2251828, 'exchange_timestamp': 1768969161000, 'last_traded_price': 5922305, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:21 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2251892, 'exchange_timestamp': 1768969161000, 'last_traded_price': 5922305, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:21 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2251929, 'exchange_timestamp': 1768969161000, 'last_traded_price': 5922305, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:21 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2251976, 'exchange_timestamp': 1768969161000, 'last_traded_price': 5922305, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:21 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2252181, 'exchange_timestamp': 1768969162000, 'last_traded_price': 5922325, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:22 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2252671, 'exchange_timestamp': 1768969162000, 'last_traded_price': 5922120, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:22 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2252918, 'exchange_timestamp': 1768969163000, 'last_traded_price': 5922340, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:22 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2253407, 'exchange_timestamp': 1768969163000, 'last_traded_price': 5922340, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:23 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2253467, 'exchange_timestamp': 1768969163000, 'last_traded_price': 5922340, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:23 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2253531, 'exchange_timestamp': 1768969163000, 'last_traded_price': 5922340, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:23 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2253590, 'exchange_timestamp': 1768969163000, 'last_traded_price': 5922340, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:23 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2253631, 'exchange_timestamp': 1768969163000, 'last_traded_price': 5922810, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:23 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2253870, 'exchange_timestamp': 1768969164000, 'last_traded_price': 5922595, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:24 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2254248, 'exchange_timestamp': 1768969164000, 'last_traded_price': 5922825, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:24 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2254497, 'exchange_timestamp': 1768969165000, 'last_traded_price': 5922145, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:25 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2254949, 'exchange_timestamp': 1768969165000, 'last_traded_price': 5922205, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:25 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2255186, 'exchange_timestamp': 1768969166000, 'last_traded_price': 5922425, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:26 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2255633, 'exchange_timestamp': 1768969166000, 'last_traded_price': 5922450, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:26 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2255868, 'exchange_timestamp': 1768969167000, 'last_traded_price': 5922505, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:27 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2256379, 'exchange_timestamp': 1768969167000, 'last_traded_price': 5922965, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:27 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2256621, 'exchange_timestamp': 1768969168000, 'last_traded_price': 5923385, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:28 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2257071, 'exchange_timestamp': 1768969168000, 'last_traded_price': 5923165, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:28 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2257310, 'exchange_timestamp': 1768969169000, 'last_traded_price': 5922510, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:29 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2257753, 'exchange_timestamp': 1768969169000, 'last_traded_price': 5922590, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:29 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2257990, 'exchange_timestamp': 1768969170000, 'last_traded_price': 5922775, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:30 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2258441, 'exchange_timestamp': 1768969170000, 'last_traded_price': 5922550, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:30 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2258681, 'exchange_timestamp': 1768969171000, 'last_traded_price': 5922355, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:31 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2259134, 'exchange_timestamp': 1768969171000, 'last_traded_price': 5922395, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:31 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2259370, 'exchange_timestamp': 1768969172000, 'last_traded_price': 5922190, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:32 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2259921, 'exchange_timestamp': 1768969172000, 'last_traded_price': 5922670, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:32 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2260159, 'exchange_timestamp': 1768969173000, 'last_traded_price': 5922600, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:33 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2260559, 'exchange_timestamp': 1768969173000, 'last_traded_price': 5922670, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:33 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2260795, 'exchange_timestamp': 1768969174000, 'last_traded_price': 5922735, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:34 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2261243, 'exchange_timestamp': 1768969174000, 'last_traded_price': 5922480, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:34 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2261479, 'exchange_timestamp': 1768969175000, 'last_traded_price': 5922395, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:35 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2261928, 'exchange_timestamp': 1768969175000, 'last_traded_price': 5922105, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:35 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2262163, 'exchange_timestamp': 1768969176000, 'last_traded_price': 5921725, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:36 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2262616, 'exchange_timestamp': 1768969176000, 'last_traded_price': 5921640, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:36 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2262852, 'exchange_timestamp': 1768969177000, 'last_traded_price': 5921380, 'subscription_mode_val': 'LTP'}
